ship_name,class,uic,status,fleet,date_status_change,homeport,maintenance_category,berth,force,builder,award_date,commission_date,keel_date,inactivation_date,launch_date,decommission_date,age_since_launch,years_commission_decommission,delivery_date,in-service_date,age_since_delivery,out_of_service_date,stricken_date,overall_length,waterline_length,extreme_beam,waterline_beam,max_navigational_draft,draft_limit,light_displacement,full_displacement,dead_weight,hull material,num_propellers,num_waterjet,propulsion_type,officer_accom,enlisted_accom,custodian,planning_yard,nuclear_planning_yard,ship_program_mgr,comments,last_updated
NORMAN SCOTT (DD 690),DD 448,04290,"Disposed of, by Navy Sale",,11/01/1973,,,,,,,,,,,,,,,,,,04/15/1973,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
NORRIS (DD 859),DD 764,52159,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,02/01/1975,,,,,,,,,,,,,,,,,,02/01/1974,,,,,,,,,,,,,,,,TURKEY,,,,,12/17/2001
NORTH CAROLINA (BB 52),BB 49,,"Disposed of, sold for scrapping",,10/25/1923,,,,,Naval Shipyard Norfolk,07/02/1918,,01/12/1920,,,,,,,,,,11/10/1923,,,,,,,,,,"Steel hull, steel superstructure.",,,,,,,,,,CONSTRUCTION WAS SUSPENDED ON 2/8/1922 WHEN 36.7% OF CONSTRUCTION WAS COMPLETE. CONSTRUCTION WAS CANCELLED ON 8/17/1923 IN ACCORDANCE WITH TERMS OF THE WASHINGTON TREATY LIMITING NAVAL ARMAMENTS. NORTH CAROLINA WAS SOLD FOR SCRAP ON 10/25/1923 AND SWCRAPPED ON THE BUILDER'S WAYS.,07/23/2002
NORTH CAROLINA (BB 55),BB 55,03055,Donated as a Museum and Memorial,,08/28/1961,,,,,Naval Shipyard New York,06/24/1937,04/09/1941,10/27/1937,,06/13/1940,06/27/1947,21.2,6.0,07/31/1941,,20.1,,06/01/1960,729 ft,715 ft,108 ft,,36 ft,,35000 tons,46770 tons,11770 tons,"Steel hull, steel superstructure.",4,,Steam Turbines,144,2195,,,,,"NORTH CAROLINA IS LOCATED AT THE USS NORTH CAROLINA BATTLESHIP COMMISSION, WILMINGTON, NC. SHE IS LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES, REF. NO. 81000424 AND DESIGNATED A NATIONAL HISTORIC LANDMARK ON 1/14/1986.",07/19/2002
NORTH DAKOTA (BB 29),BB 28,,"Disposed of, sold for scrapping",,03/16/1931,,,,,"Fore River SB Co., Weymouth, MA (Quincy)",08/06/1907,04/11/1910,12/16/1907,,11/10/1908,11/22/1923,22.3,13.0,04/11/1910,,20.9,,08/24/1923,519 ft,510 ft,85 ft,,29 ft,,20000 tons,22060 tons,2060 tons,"Steel hull, steel superstructure.",2,,Steam Turbines,64,1260,,,,,"IN ACCORDANCE WITH TERMS OF THE WASHINGTON TREATY LIMITING NAVAL ARMAMENTS SHE WAS SOLD FOR SCRAP. NORTH CAROLINA WAS COMPLETELY DEMILITARIZED ON 5/29/1924. SHE WAS CONVERTED TO A MOBILE GUNNERY TARGET SHIP UNTIL REPLACED BY UTAH (AG 16) IN 1930. SHE WAS SOLD ON 3/16/1931 TO THE UNION SHIPBUILDING CO., BALTIMORE, MD",07/23/2002
NORTHERN LIGHT (AK 284),AK 284,17757,Disposed of by Navy title transfer to the Maritime Administration,,10/01/2000,,,"Suisun Bay Reserve Fleet, Benecia, CA",,Sun Shipbuilding & Dry Dock Co.,01/01/1959,,04/01/1960,,04/01/1961,,39.5,,09/01/1961,,39.1,,,486 ft,458 ft,68 ft,68 ft,31 ft,32 ft,5873 tons,18410 tons,12537 tons,"Steel hull, steel superstructure.",1,,Steam Turbine,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,05/01/2006
NORTHHAMPTON (CC 1),CC 1,03625,"Disposed of, by Navy Sale",,03/01/1980,,,,,,,,,,,,,,,,,,12/01/1977,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,12/10/2001
NORTON SOUND (AVM 1),AVM 1,01711,Disposed of by MARAD exchange,,10/20/1988,,,,,LA SB & DD CORP/SAN PEDRO,,01/08/1945,09/07/1942,,12/28/1943,,44.8,,,,,,01/26/1987,,,,,,,,,,,,,Steam Turbine,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,12/28/2001
NORWALK (AK 279),AK 279,01802,Disposed of by Navy title transfer to the Maritime Administration,,09/10/1979,,,,,,,,,,,,,,,,,,08/01/1979,,,,,,,,,,,,,Steam Turbine,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,12/10/2001
NOTABLE (MSO 460),MSO 422,,"Disposed of, by Navy Sale",,08/30/1971,,,,,,,,,,,,,,,,,,02/01/1971,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,10/20/2005
NOXUBEE (AOG 56),AOG 1,04756,Disposed of by MARAD sale,,03/24/1976,,,,,CARGILL INC,,,,,04/03/1945,,30.9,,,,,,07/01/1975,310 ft,292 ft,48 ft,48 ft,19 ft,,1850 tons,4335 tons,2485 tons,"Steel hull, steel superstructure.",2,,Diesel Electric,6,75,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,12/17/2001
NYE COUNTY (LST 1067),LST 542,58067,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,08/01/1973,,,,,,,,,,,,,,,,,,06/10/1973,,,,,,,,,,,,,,,,CHILE,,,,,01/02/2002
O'BANNON (DD 987),DD 963,20834,Disposed of in support of Fleet training exercise,,10/06/2008,,,,,Ingalls Shipbuilding Corp.,01/15/1975,12/15/1979,02/21/1977,,09/25/1978,08/19/2005,30.1,26.0,11/26/1979,,28.9,,08/19/2005,563 ft,529 ft,55 ft,55 ft,33 ft,23 ft,7039 tons,9494 tons,2455 tons,"Steel hull, aluminum superstructure.",2,,Gas Turbines,36,342,US NAVY,,,,,12/09/2008
O'BRIEN (DD 725),DD 692,04325,Disposed of in support of Fleet training exercise,,12/01/1972,,,,,,,,,,,,,,,,,,02/18/1972,,,,,,,,,,,,,,,,US NAVY,,,,,02/13/2003
O'BRIEN (DD 975),DD 963,20601,Disposed of in support of Fleet training exercise,,02/09/2006,,,,,Ingalls Shipbuilding Corp.,01/26/1972,12/03/1977,05/09/1975,,07/08/1976,09/24/2004,29.6,27.0,11/14/1977,,28.3,,09/24/2004,563 ft,529 ft,55 ft,55 ft,32 ft,23 ft,6877 tons,9299 tons,2422 tons,"Steel hull, aluminum superstructure.",2,,Gas Turbines,24,272,US NAVY,,,,,03/01/2006
O'CALLAHAN (FF 1051),FF 1040,54046,Disposed of by Navy title transfer to the Maritime Administration,,03/28/1994,,,,,Defoe Shipbuilding Co.,03/21/1963,07/13/1968,02/19/1964,,10/20/1965,12/20/1988,28.4,20.0,07/01/1968,,25.7,,11/29/1993,,,,,,,,,,,,,Steam Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,07/03/2000
O'HARE (DD 889),DD 710,52189,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,10/31/1973,,,,,,,,,,,,,,,,,,06/02/1975,,,,,,,,,,,,,,,,SPAIN,,,,,02/13/2003
OAK HILL (LSD 7),LSD 1,03107,"Disposed of, by Navy Sale",,04/15/1970,,,,,"Moore Dry Dock Co., Inc.",12/28/1941,01/05/1944,03/09/1943,,06/25/1943,10/26/1969,26.8,25.0,01/05/1944,,26.3,,10/31/1969,458 ft,454 ft,72 ft,72 ft,18 ft,18 ft,4960 tons,8700 tons,3740 tons,"Steel hull, steel superstructure.",2,,,38,541,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,"SOLD TO MARINE POWER & EQUIPMENT CO., SEATTLE, WA",06/11/2002
OAKLAND (LCS 24),LCS,20168,Under construction,,07/31/2017,,,,,Austal USA,12/29/2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,General Dynamics Bath Iron Works,,PMS 501,,06/27/2018
OBSERVATION ISLAND (AGM 23),AGM 23,03952,Disposed of by Navy title transfer to the Maritime Administration,,05/08/2014,,,,,New York Shipbuilding Corp.,06/01/1951,12/15/1958,09/15/1952,,08/15/1953,01/01/1972,60.8,14.0,02/24/1954,,60.3,,03/31/2014,564 ft,528 ft,76 ft,76 ft,30 ft,27 ft,12978 tons,16076 tons,3098 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,92,465,,,,,,10/15/2015
OBSERVER (MSO 461),MSO 422,07991,"Disposed of, by Navy Sale",,04/01/1979,,,,,,,,,,,,,,,,,,09/01/1977,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,10/20/2005
ODUM (APD 71),APD 37,53670,"Stricken, to be disposed of by Navy sale",,11/15/1966,,,,,Consolidated Steel Corp. of Texas,06/13/1944,01/12/1945,10/15/1943,,01/19/1944,11/15/1946,74.7,1.0,01/12/1945,,73.7,,12/01/1966,306 ft,300 ft,37 ft,36 ft,13 ft,,,,,"Steel hull, steel superstructure.",2,,,,,CHILE,,,,,08/11/2010
OFLAHERTY (DE 340),DE 339,53340,"Disposed of, by Navy Sale",,11/01/1973,,,,,,,,,,,,,,,,,,12/01/1972,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
OGDEN (LPD 5),LPD 4,07176,Disposed of in support of Fleet training exercise,,07/10/2014,,,,,Naval Shipyard New York,09/21/1961,06/19/1965,02/04/1963,,06/27/1964,02/21/2007,50.1,42.0,09/23/1965,,48.8,,02/21/2007,569 ft,548 ft,108 ft,84 ft,22 ft,23 ft,9962 tons,17370 tons,7408 tons,"Steel hull, steel superstructure.",2,,Steam Turbines,100,1335,,,,,,07/11/2014
OHIO (BB 12),BB 10,,"Disposed of, sold for scrapping",,03/24/1923,,,,,Union Iron Works,10/05/1898,10/04/1904,04/22/1899,,05/18/1901,05/31/1922,21.8,18.0,09/10/1904,,18.5,,08/14/1922,394 ft,388 ft,72 ft,,25 ft,,12500 tons,13500 tons,1000 tons,"Steel hull, steel superstructure.",2,,Vertical Triple Expansion (VTE) Reciprocating Engines,52,964,,,,,,07/25/2002
OHIO (BB 68),BB 67,,"Hull number assigned, construction was stopped, directive to build cancelled",,07/21/1943,,,,,Naval Shipyard Philadelphia,09/09/1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,US NAVY,,,,CONSTRUCTION SUSPENDED ON 5/20/1942 AND CONSTRUCTION CANCELLED ON 7/21/1943.,10/30/1998
OHIO (SSBN 726),SSBN 726,21036,"Reclassed, hull reclassed to - SSGN",,10/01/2002,,,,,General Dynamics Corp.,07/01/1974,11/11/1981,04/10/1976,,04/07/1979,,39.4,,10/28/1981,,36.9,,,560 ft,,42 ft,,38 ft,,15275 tons,16802 tons,1527 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),13,140,US NAVY,,,,RECLASSED TO SSGN 726 IN OCT 2002,09/14/2009
OKANOGAN (LPA 220),LPA 117,01750,"Disposed of, by Navy Sale",,10/02/1979,,,,,,,,,,,,,,,,,,06/01/1973,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
OKINAWA (LPH 3),LPH 2,07351,Disposed of in support of Fleet training exercise,,06/06/2002,,,,,Naval Shipyard Philadelphia,10/24/1958,04/14/1962,04/01/1960,,08/19/1961,12/17/1992,40.8,30.0,,,,,12/17/1992,598 ft,,,,,,13356 tons,,,"Steel hull, aluminum superstructure.",1,,Steam Turbine,,,US NAVY,,,,,06/07/2002
OKLAHOMA (BB 37),BB 36,,"Disposed of, sold for scrapping",,12/02/1946,,,,,New York Shipbuilding Corp.,01/22/1912,05/02/1916,10/26/1912,,03/23/1914,09/01/1944,32.8,28.0,05/02/1916,,30.6,,09/01/1944,583 ft,575 ft,108 ft,,32 ft,,29000 tons,32338 tons,3338 tons,"Steel hull, steel superstructure.",2,,Vertical Triple Expansion (VTE) Reciprocating Engines,111,1832,,,,,"CAPSIZED AND SANK ON 12/7/1941 AFTER BEING TORPEDOED BY JAPANSES AIRCRAFT AT PEARL HARBOR. RAISED AND SURVEYED AND WAS FOUND TO BE TOO UNECONOMICAL TO REPAIR. OKLAHOMA WAS SOLD FOR SCRAP ON 12/2/1946 TO THE MOORE DRYDOCK CO., OAKLAND, CA. WHILE UNDER TOW SHE PARTED HER TOW LINE AND SANK ON 5/17/1947 540 MILES EAST OF PEARL HARBOR",07/23/2002
OKLAHOMA CITY (CG 5),CG 4,03591,Disposed of in support of Fleet training exercise,,03/25/1999,,,,,Cramp Shipbuilding Co.,,12/22/1944,12/08/1942,,02/20/1944,12/15/1979,55.1,35.0,,,,,12/15/1979,610 ft,600 ft,66 ft,65 ft,26 ft,26 ft,10250 tons,14400 tons,4150 tons,"Steel hull, steel superstructure.",4,,Steam Turbine,92,1249,US NAVY,,,,,12/28/2001
OLDENDORF (DD 972),DD 963,20598,Disposed of in support of Fleet training exercise,,08/22/2005,,,,,Ingalls Shipbuilding Corp.,01/26/1972,03/04/1978,12/27/1974,,10/21/1975,06/20/2003,29.8,25.0,01/30/1978,,27.6,,04/06/2004,563 ft,529 ft,55 ft,55 ft,32 ft,23 ft,7086 tons,9464 tons,2378 tons,"Steel hull, aluminum superstructure.",2,,Gas Turbines,24,272,US NAVY,,,,,09/01/2005
OLIVER HAZARD PERRY (FFG 7),FFG 7,21028,Disposed of by Dismantling (Scrapping/Recycling),,04/21/2006,,,,,Bath Iron Works Corp.,10/30/1973,12/17/1977,06/12/1975,,09/25/1976,02/20/1997,29.6,20.0,11/30/1977,,28.4,,05/03/1999,445 ft,408 ft,47 ft,47 ft,25 ft,16 ft,3091 tons,3973 tons,882 tons,"Steel hull, aluminum superstructure.",1,,Gas Turbines,17,198,,,,,,12/12/2017
OLMSTED (LPA 188),LPA 117,01488,Disposed of by MARAD exchange,,08/01/1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,03/05/2007
OLYMPIA (IX 40),IX 40,01012,Donated as a Museum and Memorial,,09/11/1957,,,,,Union Iron Works,07/10/1890,02/05/1895,06/17/1891,,11/05/1892,12/09/1922,64.8,27.0,02/20/1894,,63.6,,01/02/1957,344 ft,338 ft,53 ft,,22 ft,,,5870 tons,,"Steel hull, steel superstructure.",,,,,,,,,,"OLYMPIA IS LOCATED AT THE INDEPENDENCE SEAPORT MUSEUM, 211 SOUTH COLUMBUS BOULEVARD AND WALNUT STREET, PHILADELPHIA, PA. SHE IS LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES, REF. NO. 66000692 AND DESIGNATED A NATIONAL HISTORIC LANDMARK ON 1/29/1964.",07/26/2002
OMAHA (SSN 692),SSN 688,20783,Disposed of by Recycling,,11/30/2012,,,,,General Dynamics Corp.,01/31/1971,03/11/1978,01/27/1973,,02/21/1976,10/05/1995,36.8,17.0,03/10/1978,,34.7,,10/05/1995,362 ft,,33 ft,,32 ft,,5700 tons,6071 tons,371 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),12,98,,,,,,02/14/2013
OPPORTUNE (ARS 41),ARS 38,02536,Disposed of by Navy title transfer to the Maritime Administration,,02/01/1999,,,"James River Reserve Fleet, Fort Eustis, VA",,"Basalt Rock Co., Inc.",12/07/1943,10/05/1945,09/13/1944,,03/31/1945,04/30/1993,53.9,48.0,10/05/1945,,53.3,,04/30/1993,214 ft,207 ft,44 ft,44 ft,15 ft,,1520 tons,2040 tons,520 tons,"Steel hull, steel superstructure.",2,,Diesel Electric,8,83,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,03/12/1999
ORDRONAUX (DD 617),DD 421,04017,"Disposed of, by Navy Sale",,03/01/1973,,,,,,,,,,,,,,,,,,07/01/1971,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
OREGON (IX 22),IX 22,,"Disposed of, sold for scrapping",,03/15/1956,,,,,Union Iron Works,11/19/1890,07/15/1896,11/19/1891,,10/26/1893,10/04/1919,62.4,23.0,06/26/1896,,59.8,,11/02/1942,351 ft,348 ft,69 ft,69 ft,27 ft,,10288 tons,11688 tons,1400 tons,"Steel hull, steel superstructure.",2,,Vertical Triple Expansion (VTE) Reciprocating Engines,52,685,,,,,"LOANED TO THE STATE OF OREGON AS A FLOATING MUSEUM/MEMORIAL ON 6/25/1925. SOLD FOR SCRAP ON 12/7/1942 TO W. O. MCKAY CO., SEATTLE, WA. REACQUIRED BY THE NAVY IN 9/1943 AND TOWED TO GUAM FOR USE AS AN EXPLOSIVES STORAGE HULK. ON 3/15/1956 OREGON WAS RESOLD FOR SCRAP TO IWAI SANGGO CO., LTD., KAWASAKI, JAPAN",07/23/2002
OREGON (SSN 793),SSN 774,27155,Under construction,,09/30/2014,,,,,General Dynamics Corp.,04/28/2014,,07/08/2017,,,,,,,,,,,,,,,,,,,,,,,Steam Turbine (Nuclear),,,,,,,,02/12/2018
OREGON CITY (CA 122),CA 122,03622,"Disposed of, by Navy Sale",,08/01/1973,,,,,,,,,,,,,,,,,,11/01/1970,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
ORIOLE (MHC 55),MHC 51,21936,"Disposed of, by Navy Sale",,05/23/2010,,,,,Intermarine U. S. A.,04/01/1991,09/16/1995,08/03/1991,,05/22/1993,06/30/2006,17.0,11.0,05/12/1995,,15.0,,06/30/2006,188 ft,174 ft,38 ft,36 ft,11 ft,11 ft,796 tons,882 tons,86 tons,Composite hull.,2,,Diesel Engines,5,46,TAIWAN,,,,,06/06/2011
ORION (AS 18),AS 11,04628,Disposed of by Dismantling (Scrapping/Recycling),,07/27/2007,,,,,"Moore Dry Dock Co., Inc.",12/30/1940,09/30/1943,07/31/1941,,06/24/1942,09/03/1993,65.1,50.0,09/30/1943,,63.8,,09/03/1993,530 ft,520 ft,73 ft,73 ft,25 ft,26 ft,10809 tons,16585 tons,5776 tons,"Steel hull, steel superstructure.",2,,Diesel Electric,75,1061,,,,,"27 JUL 06 ORION TO BE DISMANTLED BY NORTH AMERICAN SHIP RECYCLING, BALTIMORE, MD. FULLY DISMANTLED ON 27 JUL 07.",12/12/2017
ORISKANY (CV 34),CV 19,03334,Disposed of by Donation for use as Artificial Reefing,,05/17/2006,,,,,Naval Shipyard New York,08/08/1947,09/25/1950,05/01/1944,,10/13/1945,09/30/1976,60.6,26.0,09/25/1950,,55.7,,07/25/1989,911 ft,820 ft,107 ft,107 ft,33 ft,32 ft,32519 tons,,,"Steel hull, steel superstructure.",4,,,329,3247,,,,,,05/18/2006
ORLEANS PARISH (LST 1069),LST 542,58069,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,09/01/1976,,,,,"BETHLEHEM STEEL CORP., HINGHAM SHIPYARD",,03/31/1945,02/07/1945,,03/07/1945,,31.5,,03/31/1945,,31.5,,06/30/1975,,,,,,,,,,"Steel hull, steel superstructure.",,,,,,PHILIPPINES,,,,,12/28/2001
ORLEANS PARISH (MCS 6),MCS 6,58069,"Reclassed, hull reclassed to - LST",,01/11/1952,,,,,"BETHLEHEM STEEL CORP., HINGHAM SHIPYARD",,03/31/1945,02/07/1945,,03/07/1945,08/06/1945,73.5,0.0,03/31/1945,,73.5,,,,,,,,,,,,"Steel hull, steel superstructure.",,,,,,,,,,,01/03/2017
ORLECK (DD 886),DD 710,52186,"Disposed of  through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment",,08/06/1987,,,,,Consolidated Steel Corp. of Texas,06/14/1943,09/15/1945,11/28/1944,,05/12/1945,10/01/1982,42.3,37.0,09/14/1945,,41.9,,08/06/1987,,,,,,,,,,"Steel hull, steel superstructure.",,,Steam Turbines,,,,,,,"THE TURKISH GOVERNMENT DECOMMISSIONED ORLECK ON 4/1/1998 AND DONATED HER TO THE ORGANIZATIONS  USS ORLECK ASSOCIATION, THE SOUTHEAST TEXAS WAR MEMORIAL AND THE HERITAGE FOUNDATION, INC., ORANGE, TX  SO SHE CAN BE PRESERVED AND RESTORED AS A MUSEUM.",03/18/2010
ORTOLAN (ASR 22),ASR 21,20144,Disposed of by Navy title transfer to the Maritime Administration,,05/01/1999,,,"James River Reserve Fleet, Fort Eustis, VA",,Alabama Dry Dock & Shipbuilding Co.,11/15/1967,07/14/1973,08/22/1968,,09/10/1969,03/30/1995,29.7,22.0,05/17/1972,,27.0,,03/30/1995,251 ft,230 ft,93 ft,,26 ft,26 ft,3706 tons,4545 tons,839 tons,"Steel hull, steel superstructure.",2,,Diesel,16,147,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,01/12/2000
OSBERG (DE 538),DE 339,53538,"Disposed of, by Navy Sale",,01/01/1974,,,,,,,,,,,,,,,,,,06/30/1974,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,12/28/2001
OSMOND INGRAM (APD 35),DD 186,,Disposed of by Dismantling (Scrapping/Recycling),,06/17/1946,,,,,"Bethlehem Steel Co., Shipbuilding Div.",12/06/1917,06/28/1919,10/15/1918,,02/23/1919,01/08/1946,27.3,27.0,06/27/1919,,27.0,,01/21/1946,314 ft,,32 ft,,10 ft,,,,,"Steel hull, steel superstructure.",2,,,,,,,,,,12/12/2017
OSMUS (DE 701),DE 217,53701,"Disposed of, by Navy Sale",,11/01/1973,,,,,,,,,,,,,,,,,,12/01/1972,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
OSPREY (MHC 51),MHC 51,21836,"Disposed of, sold for scrapping",,08/13/2015,,,,,Intermarine U. S. A.,05/22/1987,11/20/1993,06/16/1988,,03/23/1991,06/15/2006,24.4,13.0,08/23/1993,,22.0,,06/15/2006,188 ft,174 ft,38 ft,36 ft,11 ft,11 ft,817 tons,904 tons,87 tons,Composite hull.,2,,Diesel Engines,5,46,,,,,"MHC 51 HAS BEEN SCRAPPED BY NEW YORK MOVING AND TRANSPORT ON AUGUST 13, 2015. CERTIFICATE OF SCRAPPING, DEMILITARIZATION AND HAZMAT DISPOSAL IS ON FILE.",12/04/2015
OSPREY (MSCO 28), ,16422,"Disposed of, by Navy Sale",,06/01/1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,08/29/2000
OSTERHAUS (DE 164),DE 99,02864,"Disposed of, by Navy Sale",,07/01/1974,,,,,,,,,,,,,,,,,,11/01/1972,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
OSWALD (DE 767),DE 99,53767,"Disposed of, by Navy Sale",,10/01/1973,,,,,,,,,,,,,,,,,,08/01/1972,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
OTTERSETTER (DER 244),DER 316,02944,Disposed of in support of Fleet training exercise,,02/01/1976,,,,,,,,,,,,,,,,,,08/01/1974,,,,,,,,,,,,,,,,US NAVY,,,,,12/17/2001
OUELLET (FF 1077),FF 1052,54072,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,11/27/1996,,,,,"Avondale Marine Ways Inc., Westwego, LA",07/22/1964,12/12/1970,01/15/1969,,01/17/1970,08/06/1993,26.8,23.0,12/03/1970,,25.9,,01/11/1995,438 ft,415 ft,47 ft,47 ft,26 ft,17 ft,3232 tons,4212 tons,980 tons,"Steel hull, aluminum superstructure.",1,,Steam Turbines,22,261,THAILAND,,,,,06/29/2000
OUTAGAMIE COUNTY (LST 1073),LST 542,58073,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,12/01/1973,,,,,,,,,,,,,,,,,,12/01/1973,,,,,,,,,,,,,,,,CUBA,,,,,12/28/2001
OVERTON (APD 23),DD 186,,Disposed of by Dismantling (Scrapping/Recycling),,11/30/1945,,,,,New York Shipbuilding Corp.,12/29/1917,06/30/1920,10/30/1918,,07/10/1919,07/30/1945,26.3,25.0,06/30/1920,,25.4,,08/13/1945,314 ft,,32 ft,,10 ft,,,,,"Steel hull, steel superstructure.",2,,,,,,,,,,12/12/2017
OWEN (DD 536),DD 448,04536,"Disposed of, by Navy Sale",,11/01/1973,,,,,,,,,,,,,,,,,,04/15/1973,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
OWYHEE (LFR 515),LFR 501,75515,"Disposed of, by Navy Sale",,06/01/1974,,,,,,,,,,,,,,,,,,05/01/1973,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
OZARK (MCS 2),MCS 1,07457,Disposed of in support of Fleet training exercise,,09/01/1975,,,,,,,,,,,,,,,,,,04/01/1974,,,,,,,,,,,,,,,,US NAVY,,,,,12/17/2001
OZBOURN (DD 846),DD 710,52146,"Disposed of, by Navy Sale",,12/01/1975,,,,,,,,,,,,,,,,,,06/01/1975,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,12/17/2001
PAGE COUNTY (LST 1076),LST 542,58076,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,07/01/1978,,,,,,,,,,,,,,,,,,04/15/1978,,,,,,,,,,,,,,,,GREECE,,,,,12/28/2001
PAIUTE (ATF 159),ATF 148,07159,"Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.",,12/29/1997,,,,,Charleston Shipbuilding and Dry Dock Co.,08/14/1945,08/27/1945,02/27/1945,,06/04/1945,08/07/1992,52.5,47.0,,,,,02/14/1995,205 ft,195 ft,39 ft,39 ft,17 ft,16 ft,1205 tons,1661 tons,456 tons,"Steel hull, steel superstructure.",1,,Diesel Electric,6,81,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,06/29/2000
PALMYRA (ARST 3),ARST 1,58100,"Disposed of, by Navy Sale",,04/01/1974,,,,,,,,,,,,,,,,,,06/01/1973,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,01/02/2002
PAMPANITO (AGSS 383),AGSS 383,,Donated as a Museum and Memorial,,11/21/1975,,,,,Naval Shipyard Portsmouth,,11/06/1943,03/15/1943,,07/12/1943,12/15/1945,32.3,2.0,,,,,12/20/1971,312 ft,,,,,,,1526 tons,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,02/28/2008
PAMPANITO (SS 383),SS 285,,"Disposed of by transfer to other Government Agencies, States. Schools, Sea Scouts, etc.",,09/25/2003,,,,,Naval Shipyard Portsmouth,,11/06/1943,03/15/1943,,07/12/1943,12/15/1945,60.2,2.0,,,,,,312 ft,,,,,,,1526 tons,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,08/09/2010
