ship_name,class,uic,status,fleet,date_status_change,homeport,maintenance_category,berth,force,builder,award_date,commission_date,keel_date,inactivation_date,launch_date,decommission_date,age_since_launch,years_commission_decommission,delivery_date,in-service_date,age_since_delivery,out_of_service_date,stricken_date,overall_length,waterline_length,extreme_beam,waterline_beam,max_navigational_draft,draft_limit,light_displacement,full_displacement,dead_weight,hull material,num_propellers,num_waterjet,propulsion_type,officer_accom,enlisted_accom,custodian,planning_yard,nuclear_planning_yard,ship_program_mgr,comments,last_updated
ALAMO (LSD 33),LSD 28,03133,"Disposed of  through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment",,01/24/2001,,,,,Ingalls Shipbuilding Corp.,03/18/1954,08/24/1956,10/11/1954,,01/20/1956,09/28/1990,45.0,34.0,08/24/1956,,44.4,,01/24/2001,510 ft,500 ft,84 ft,84 ft,19 ft,19 ft,7193 tons,11572 tons,4379 tons,"Steel hull, steel superstructure.",2,,Steam Turbines,63,686,BRAZIL,,,,,08/02/2001
ALATNA (AOG 81),AOG 81,04781,Disposed of by Navy title transfer to the Maritime Administration,,10/01/1995,,,,,"Bethlehem Steel Co., Shipbuilding Div.",08/16/1955,,03/16/1956,,09/16/1956,,39.1,,07/17/1957,,38.3,,,302 ft,290 ft,61 ft,61 ft,23 ft,23 ft,2367 tons,7300 tons,4933 tons,"Steel hull, steel superstructure.",2,,High Speed Diesel Electric,11,40,,,,,DEC 06 ALATNA WAS SOLD BY MARAD TO TEROAKA CO. OF JAPAN.,01/16/2007
ALBACORE (AGSS 569),AGSS 569,05580,Donated as a Museum and Memorial,,05/03/1985,,,,,Naval Shipyard Portsmouth,11/24/1950,12/06/1953,03/15/1952,,08/01/1953,12/09/1972,31.8,19.0,03/15/1954,,31.2,,05/01/1980,204 ft,200 ft,27 ft,,22 ft,,1240 tons,1540 tons,300 tons,"Steel hull, steel superstructure.",1,,Diesel,5,49,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,"ALBACORE IS LOCATED AT THE PORT OF PORTSMOUTH MARITIME MUSEUM & ALBACORE PARK, 600 MARKET STREET, PORTSMOUTH, NH. SHE IS LISTED ON THE NATIONAL REGISTER OF HISTORIC PLACES, REF. NO. 89001077 AND DESIGNATED A NATIONAL HISTORIC LANDMARK ON 4/11/1989.",06/11/2002
ALBANY (CG 10),CG 10,03623,"Disposed of, by Navy Sale",,08/12/1990,,,,,BETHLEHEM STL/QUINCY,08/07/1942,06/15/1946,03/06/1944,,06/30/1945,08/29/1980,45.2,34.0,06/14/1946,,44.2,,06/30/1985,674 ft,664 ft,71 ft,69 ft,27 ft,,13260 tons,17750 tons,4490 tons,"Steel hull, steel superstructure.",4,,Steam Turbine,105,1402,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,05/29/2007
ALBERT DAVID (FF 1050),FF 1040,54045,"Disposed of  through the Security Assistance Program (SAP), transferred, Foreign Assistance Act (FAA) Section 516, Southern Region Amendment",,01/24/2001,,,,,Lockheed Shipbuilding & Construction Co.,03/20/1963,10/01/1968,04/29/1964,,12/19/1964,09/18/1989,36.1,21.0,10/11/1968,,32.3,,01/24/2001,415 ft,390 ft,44 ft,44 ft,24 ft,17 ft,2624 tons,3403 tons,779 tons,"Steel hull, aluminum superstructure.",1,,Steam Turbines,16,231,BRAZIL,,,,,08/02/2001
ALBERT J MYER (ARC 6),ARC 6,01056,Disposed of by Navy title transfer to the Maritime Administration,,04/01/1998,,,,,PUSEY & JONES CORP,,05/13/1963,,,,,,,,,,,11/07/1994,,,,,,,,,,,,,Diesel Electric,,,,,,,"DISMANTLED AT INTERNATIONAL SHIPBREAKING LIMITED, BROWNSVILLE, TX. DATE UNKNOWN.",02/16/2011
ALBUQUERQUE (SSN 706),SSN 688,21001,"Stricken, Final Disposition Pending",,02/23/2017,,Z,Puget Sound Naval Shipyard & Intermediate Maintenance Facility (PSNS & IMF),,General Dynamics Corp.,10/31/1973,05/21/1983,12/27/1979,02/03/2016,03/13/1982,02/23/2017,36.5,34.0,04/14/1983,,35.4,,02/23/2017,362 ft,,33 ft,,32 ft,,5758 tons,6120 tons,362 tons,"Steel hull, steel superstructure.",1,,Steam Turbine (Nuclear),12,98,US NAVY,,,,,12/12/2017
ALDEBARAN (AF 10),AF 10,08565,Disposed of by MARAD sale,,11/14/1974,,,,,,06/07/1938,,11/28/1938,,06/21/1939,,35.4,,12/04/1939,,34.9,,06/01/1973,,,,,,,,,,,,,,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,12/10/2001
ALEXANDER HAMILTON (SSBN 617),SSBN 616,05124,Disposed of by submarine recycling,,02/28/1994,,,,,General Dynamics Corp.,07/22/1960,06/27/1963,06/26/1961,,08/18/1962,02/23/1993,31.5,30.0,03/29/1963,,30.9,,02/23/1993,,,,,,,,,,,,,Steam Turbine (Nuclear),,,"PUGET SOUND NAVAL SHIPYARD, BREMERTON, WA (NAVSHIPYD)",,,,,03/01/1999
ALFRED A CUNNINGHAM (DD 752),DD 692,03852,Disposed of in support of Fleet training exercise,,10/01/1979,,,,,,,,,,,,,,,,,,02/01/1974,,,,,,,,,,,,,,,,US NAVY,,,,,02/16/2011
ALGOL (AKR 287),AKR 287,21591,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",,10/01/2008,,,,Strategic Sealift Force,"Droog-dok, Maalschappy",,,11/01/1971,,09/01/1972,,46.0,,05/01/1973,,45.3,,,947 ft,893 ft,106 ft,106 ft,37 ft,32 ft,29692 tons,61987 tons,32295 tons,"Steel hull, steel superstructure.",2,,Steam Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,ON 01 OCT 2007 CUSTODY WAS TRANSFERRED TO MARAD. FULL TITLE WAS TRANSFERRED 01 OCT 2008 AND SHIP LOST THEIR USNS DESIGNATION.,11/03/2011
ALGOL (LKA 54),LKA 54,01254,Disposed of by Navy title transfer to the Maritime Administration,,10/26/1989,,,,,,06/11/1942,07/21/1944,12/10/1942,,02/17/1943,,46.7,,11/27/1943,,45.9,,01/01/1977,,,,,,,,,,,,,Steam Turbine,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,12/10/2001
ALLAGASH (AO 97),AO 22,04847,Disposed of by MARAD sale,,03/16/1976,,,,,,,,,,,,,,,,,,06/01/1973,,,,,,,,,,,,,,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,08/16/2016
ALLEN M SUMNER (DD 692),DD 692,04292,"Disposed of, by Navy Sale",,10/01/1974,,,,,,,,,,,,,,,,,,08/15/1973,,,,,,,,,,,,,,,,"SCHOOLS, ORGANIZATIONS AND PRIVATE ENTERPRISES",,,,,02/16/2011
ALTAIR (AKR 291),AKR 287,21592,"Special, MARAD titled ship, assigned to the Ready Reserve Force (RRF), listed here as part of the U.S. Navy Ship Forces.",,10/01/2008,,,,Strategic Sealift Force,Nord Seebrke GMBLT,,,,,04/01/1973,,45.4,,08/01/1973,,45.1,,,947 ft,893 ft,106 ft,106 ft,37 ft,32 ft,29692 tons,61987 tons,32295 tons,"Steel hull, steel superstructure.",2,,Steam Turbines,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,ON 01 OCT 2007 CUSTODY WAS TRANSFERRED TO MARAD. FULL TITLE WAS TRANSFERRED 01 OCT 2008 AND SHIP LOST THEIR USNS DESIGNATION.,11/03/2011
ALTAIR (AKS 32),AKS 32,01907,Disposed of by MARAD sale,,11/01/1974,,,,,,,,,,,,,,,,,,06/01/1973,,,,,,,,,,,,,,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,01/02/2002
ALUDRA (AF 55),AF 55,01594,Disposed of by MARAD sale,,11/01/1978,,,,,,06/11/1942,,08/23/1944,,10/14/1944,,34.1,,03/23/1945,,33.7,,06/01/1976,,,,,,,,,,,,,,,,MARITIME ADMINISTRATION (NATIONAL DEFENSE RESERVE FLEET),,,,,12/10/2001
AMBERJACK (SS 522),SS 484,73122,"Disposed of  through the Security Assistance Program (SAP), transferred, cash sale, ex-US fleet hull foreign military sale case number assigned",,10/01/1973,,,,,,,,,,,,,,,,,,10/17/1973,,,,,,,,,,,,,,,,BRAZIL,,,,,12/31/2001
AMERICA (CV 66),CV 63,03366,Disposed of in support of Fleet training exercise,,05/14/2005,,,,,Newport News Shipbuilding,11/25/1960,01/23/1965,01/09/1961,,02/01/1964,08/09/1996,41.3,31.0,01/13/1965,,40.3,,08/09/1996,1048 ft,990 ft,248 ft,129 ft,38 ft,37 ft,61174 tons,83573 tons,22399 tons,"Steel hull, steel superstructure.",4,,Steam Turbines,502,4684,US NAVY,,,,,05/19/2005
AMERICAN CORMORANT (AK 2062),AK 2062,46402,Disposed of by return to owner,,09/30/2002,,,,,,,,,,,,,,,,,,,738 ft,,135 ft,,34 ft,,17942 tons,70692 tons,52750 tons,,1,,Diesel,,,,,,,,07/24/2006
AMERICAN EXPLORER (AOT 165),AOT 165,04998,Disposed of by Navy title transfer to the Maritime Administration,,10/01/1994,,,,,Ingalls Shipbuilding Corp.,07/01/1956,,07/01/1957,,04/01/1958,,36.5,,10/01/1959,,35.0,,,615 ft,600 ft,80 ft,80 ft,35 ft,35 ft,8402 tons,32628 tons,24226 tons,"Steel hull, steel superstructure.",1,,Steam Turbines,16,37,,,,,SHIP DEPARTED MARAD ON 13 AUG 08 TO SOUTHERN SCRAP MATERIAL CO.,03/20/2009
AMERICAN TERN (AK 4729),AK 4729,,"Special, chartered by MSC, listed here as part of the U.S. Navy Ship Forces.",,01/15/2008,,,,Strategic Sealift Force,,,,08/07/1989,,,,,,12/01/1990,,27.8,,,521 ft,,76 ft,,33 ft,,,8650 tons,,,,,,,,,,,,,04/28/2010
